residential_area_score,name,latitude,longitude
1.93928547959668e-002,St-Hubert / Rachel,45.5234,-73.57645
1.9349328799731e-002,St-Charles / Charlotte,45.53983,-73.50875
1.93442039389466e-002,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199
1.91785526392142e-002,Chambord / Bélanger,45.54299,-73.60637
1.91230324163168e-002,Berri / Rachel,45.52288,-73.57749
1.90585902616279e-002,Marquette / Laurier,45.53543,-73.5822
1.90414132656981e-002,Georges-Vanier / Notre-Dame,45.48505,-73.57196
1.90411410749838e-002,Bourgeoys / Favard,45.47993,-73.55592
1.9023221598884e-002,Édouard-Montpetit / Stirling,45.50723,-73.61508
1.90179599578857e-002,Rivard / Rachel,45.52228,-73.57759
1.90044289548167e-002,Drolet / St-Zotique,45.53488,-73.60941
1.89510248675571e-002,Duvernay / Charlevoix,45.48204,-73.57486
1.89178002557064e-002,Montcalm / de Maisonneuve,45.51916,-73.55786
1.88008293584935e-002,Quai de la navette fluviale,45.51374,-73.53838
1.87721542347406e-002,Rousselot / Villeray,45.54886,-73.61661
1.87692985223758e-002,de la Commune / McGill,45.49867,-73.55257
1.8744178809643e-002,Pontiac / Gilford,45.52701,-73.58577
1.87305825960909e-002,Coloniale / du Mont-Royal,45.52116,-73.58562
0.01867229601702,du Rosaire / St-Hubert,45.54467,-73.62158
0.01866059294342,Fullum / Sherbrooke,45.53392,-73.56242
1.86586935792352e-002,Chabot / de Bellechasse,45.54257,-73.59215
1.86255394899899e-002,Chomedey / de Maisonneuve,45.4918,-73.58401
1.86045792731505e-002,Natatorium (LaSalle / Rolland),45.44441,-73.57557
1.85960541376808e-002,Beaudry / Ontario,45.52163,-73.56235
1.8439512249601e-002,Beaudry / Sherbrooke,45.52303,-73.56541
1.84183094038051e-002,Clark / Rachel,45.51735,-73.58213
1.83683854972597e-002,Papineau / René-Lévesque,45.52114,-73.54926
1.8324020010195e-002,Fortune / Wellington,45.47792,-73.55904
1.83106763421711e-002,Faillon / St-Hubert,45.54297,-73.61794
1.82931208516532e-002,Métro Mont-Royal (Rivard / du Mont-Royal),45.52467,-73.58255
1.82898449302771e-002,Louis-Hébert / Jean-Talon,45.55314,-73.60271
1.82248086033524e-002,Chabot / du Mont-Royal,45.53418,-73.57359
1.80883524368477e-002,Ryde / Charlevoix,45.47574,-73.5646
1.80112168225575e-002,du Parc-La Fontaine / Roy,45.52291,-73.56837
1.79802303585715e-002,du Square Ahmerst / Wolfe,45.52107,-73.56376
1.78424616295039e-002,de Bordeaux / Beaubien,45.54475,-73.5949
1.78354224228071e-002,St-Dominique / Rachel,45.51859,-73.58157
1.7792214023645e-002,Métro Côte-des-Neiges (Lacombe / de la Côte-des-Neiges),45.49685,-73.62332
1.77819585637197e-002,Tupper / Atwater,45.48888,-73.58353
1.77290958934901e-002,Cartier / Rosemont,45.54125,-73.59104
1.76934203872545e-002,St-Marc / Sherbrooke,45.49451,-73.58337
1.75956242427817e-002,St-Charles / St-Sylvestre,45.53638,-73.51264
1.7488087796214e-002,de Gaspé / St-Viateur,45.52775,-73.59744
1.73337439815411e-002,Lionel-Groulx / George-Vanier,45.48622,-73.57375
1.73182089219493e-002,Métro Villa-Maria (Décarie / de Monkland),45.47948,-73.61979
1.72644031058431e-002,Charlevoix / Lionel-Groulx,45.48393,-73.57731
1.72251801779727e-002,Resther / du Mont-Royal,45.52563,-73.58177
1.71574296176327e-002,Augustin-Cantin / Shearer,45.48402,-73.56344
0.01714449326074,de la Roche / du Mont-Royal,45.52876,-73.57868
1.70280762132473e-002,Basile-Routhier / Chabanel,45.54998,-73.64796
1.70200703975404e-002,Robin / de la Visitation,45.52089,-73.55922
1.69546024222675e-002,Elsdale / Louis-Hébert,45.54918,-73.59386
1.68782688573909e-002,Union / President-Kennedy,45.50499,-73.5717
1.68271881192336e-002,University / des Pins,45.50835,-73.5805
1.68147894763139e-002,Métro Monk (Allard / Beaulieu),45.45085,-73.59402
1.67186987672096e-002,St-Cuthbert / St-Urbain,45.51489,-73.57828
1.66345988800096e-002,Logan / Fullum,45.52845,-73.55109
1.65707080178032e-002,Napoléon /  St-Dominique,45.51674,-73.57771
1.65098109271525e-002,Roy / St-Christophe,45.52149,-73.57047
1.64886740845147e-002,Tupper / du Fort,45.49123,-73.58078
1.63489864098323e-002,Parc Jeanne Mance (monument à sir George-Étienne Cartier),45.51496,-73.58503
1.63014990434267e-002,St-André / Duluth,45.52317,-73.57343
1.61739875785125e-002,Gary Carter / St-Laurent,45.53615,-73.62242
1.61508810681336e-002,Laval / Duluth,45.51921,-73.57718
1.61218580287229e-002,St-André / Ontario,45.51889,-73.56353
1.59979563286441e-002,St-André / Ste-Catherine,45.51643,-73.55811
1.59358553750842e-002,de Montmorency / Richardson,45.48489,-73.56012
1.5934227440882e-002,Hutchison / Beaubien,45.52625,-73.61375
1.59292174653979e-002,Marquette / du Mont-Royal,45.53229,-73.57544
